epoch,train_accuracy,val_accuracy
1,0.2030,0.1812
2,0.3490,0.2685
3,0.5336,0.4631
4,0.6560,0.5570
5,0.6384,0.5638
6,0.6544,0.6443
7,0.6619,0.5973
8,0.6527,0.5570
9,0.6602,0.6510
10,0.6846,0.5906
11,0.6678,0.5973
12,0.6770,0.5973
13,0.6888,0.6443
14,0.7013,0.6510
15,0.6921,0.6644
16,0.6913,0.6443
17,0.7030,0.6309
18,0.7173,0.6443
19,0.7148,0.6846
20,0.7181,0.6376
21,0.7257,0.6846
22,0.7223,0.6443
23,0.7391,0.6376
24,0.7198,0.6309
25,0.7424,0.6510
26,0.7232,0.6443
27,0.7576,0.6443
28,0.7366,0.6577
29,0.7643,0.6577
30,0.7374,0.6376
31,0.7659,0.6846
32,0.7492,0.6644
33,0.7752,0.6577
34,0.7878,0.6644
35,0.7836,0.6644
36,0.7727,0.6309
37,0.7743,0.6510
38,0.7685,0.6510
39,0.7743,0.6577
40,0.7685,0.6309
41,0.7701,0.7047
42,0.7836,0.6510
43,0.8029,0.6577
44,0.7878,0.6309
45,0.8121,0.6846
46,0.7987,0.6913
47,0.8112,0.6443
48,0.8003,0.6376
49,0.7978,0.6711
50,0.8003,0.6577
51,0.8121,0.6913
52,0.8171,0.6711
53,0.8112,0.6644
54,0.8121,0.6779
55,0.8230,0.6711
56,0.8121,0.7248
57,0.8146,0.6376
58,0.8255,0.6443
59,0.8221,0.6846
60,0.8314,0.6309
61,0.8263,0.7114
62,0.8280,0.6980
63,0.8263,0.7114
64,0.8356,0.6980
65,0.8406,0.6644
66,0.8372,0.6913
67,0.8440,0.6711
68,0.8456,0.6577
69,0.8465,0.7248
70,0.8708,0.7248
71,0.8406,0.6510
72,0.8591,0.6846
73,0.8633,0.6577
74,0.8448,0.7315
75,0.8339,0.6644
76,0.8431,0.7114
77,0.8498,0.6711
78,0.8465,0.6980
79,0.8507,0.6577
80,0.8532,0.6980
81,0.8440,0.7450
82,0.8490,0.7383
83,0.8666,0.7114
84,0.8582,0.7383
85,0.8599,0.7248
86,0.8599,0.6779
87,0.8456,0.6779
88,0.8658,0.6846
89,0.8649,0.7315
90,0.8851,0.6846
91,0.8582,0.6980
92,0.8758,0.7248
93,0.8473,0.7114
94,0.8750,0.7181
95,0.8465,0.6846
96,0.8633,0.7114
97,0.8708,0.7315
98,0.8574,0.6913
99,0.8683,0.7114
100,0.8607,0.7450
101,0.8742,0.6644
102,0.8691,0.6913
103,0.8649,0.6644
104,0.8792,0.6510
105,0.8683,0.7315
106,0.8817,0.7114
107,0.8725,0.6980
108,0.8574,0.6644
109,0.8599,0.7450
110,0.8674,0.6779
111,0.8616,0.7584
112,0.8733,0.7248
113,0.8700,0.7450
114,0.8750,0.7315
115,0.8607,0.7114
116,0.8792,0.6980
117,0.8658,0.7181
118,0.8616,0.6913
119,0.8742,0.6846
120,0.8901,0.6846
121,0.8792,0.7450
122,0.8641,0.6711
123,0.8884,0.6846
124,0.8859,0.7114
125,0.8733,0.6711
126,0.8742,0.6242
127,0.8574,0.6846
128,0.8926,0.6711
129,0.8683,0.6779
130,0.8733,0.6980
131,0.8733,0.7450
132,0.8842,0.6980
133,0.8767,0.7047
134,0.8742,0.6779
135,0.8951,0.7315
136,0.8876,0.7114
137,0.8708,0.7383
138,0.8716,0.6711
139,0.8674,0.6913
140,0.8876,0.6711
141,0.8758,0.6980
142,0.8725,0.7047
143,0.8909,0.7047
144,0.8926,0.7047
145,0.8834,0.6846
146,0.8742,0.7047
147,0.8784,0.7047
148,0.8742,0.6779
149,0.8826,0.6779
150,0.8985,0.6779
151,0.8750,0.7114
152,0.8826,0.7047
153,0.8918,0.7181
154,0.8666,0.7114
155,0.8826,0.6779
156,0.8809,0.7383
157,0.8951,0.7047
158,0.8851,0.6711
159,0.8809,0.7181
160,0.8826,0.6913
161,0.8800,0.7047
162,0.8943,0.7114
163,0.8851,0.7047
164,0.9086,0.7450
165,0.8784,0.6846
166,0.8826,0.7114
167,0.8826,0.6779
168,0.8968,0.6913
169,0.8951,0.7383
170,0.8767,0.7315
171,0.8809,0.6980
172,0.8935,0.6779
173,0.8691,0.6711
174,0.8767,0.6711
175,0.8867,0.7047
176,0.8784,0.6980
177,0.8742,0.6980
178,0.8909,0.6980
179,0.8826,0.7114
180,0.8935,0.7315
181,0.8918,0.7047
182,0.8977,0.7047
183,0.8918,0.7047
184,0.8716,0.7114
185,0.8951,0.7248
186,0.8867,0.7248
187,0.8826,0.6577
188,0.8926,0.6711
189,0.8826,0.6510
190,0.8876,0.7114
191,0.8960,0.6913
192,0.8935,0.7047
193,0.8876,0.7114
194,0.8784,0.7047
195,0.8784,0.7248
196,0.8918,0.6913
197,0.8977,0.6913
198,0.8968,0.6711
199,0.8943,0.7248
200,0.8901,0.7114
